title,director,year,runtime,genres,strands,description,synopsis,languages,session_date,session_venue,session_time,film_url
Sanatorium Under the Sign of the Hourglass,Quay Brothers,2024,76 mins,Animation,"Animation, MIFF Online","The first feature in 20 years from stop-motion animation legends the Brothers Quay is an episodic, shapeshifting, disorienting, death-etched fairytale.","Amid a Gothic Eastern European landscape, Jozef undertakes an arduous journey into the Carpathian Mountains to reach a sanatorium where his ailing father will spend his dying days. Upon reaching his destination, he discovers that his father exists in a liminal state between life and death; that the facility is run by a six-armed doctor; that it warps perceptions of space and time; and that family trauma is a rabbit hole you can disappear into.",Polish,13 Aug,ACMI 2,9:30pm,https://miff.com.au/program/film/sanatorium-under-the-sign-of-the-hourglass
Sanatorium Under the Sign of the Hourglass,Quay Brothers,2024,76 mins,Animation,"Animation, MIFF Online","The first feature in 20 years from stop-motion animation legends the Brothers Quay is an episodic, shapeshifting, disorienting, death-etched fairytale.","Amid a Gothic Eastern European landscape, Jozef undertakes an arduous journey into the Carpathian Mountains to reach a sanatorium where his ailing father will spend his dying days. Upon reaching his destination, he discovers that his father exists in a liminal state between life and death; that the facility is run by a six-armed doctor; that it warps perceptions of space and time; and that family trauma is a rabbit hole you can disappear into.",Polish,24 Aug,Hoyts 7,1:45pm,https://miff.com.au/program/film/sanatorium-under-the-sign-of-the-hourglass
Sanatorium Under the Sign of the Hourglass,Quay Brothers,2024,76 mins,Animation,"Animation, MIFF Online","The first feature in 20 years from stop-motion animation legends the Brothers Quay is an episodic, shapeshifting, disorienting, death-etched fairytale.","Amid a Gothic Eastern European landscape, Jozef undertakes an arduous journey into the Carpathian Mountains to reach a sanatorium where his ailing father will spend his dying days. Upon reaching his destination, he discovers that his father exists in a liminal state between life and death; that the facility is run by a six-armed doctor; that it warps perceptions of space and time; and that family trauma is a rabbit hole you can disappear into.",Polish,24 Aug,MIFF Online (Streaming),11:00pm,https://miff.com.au/program/film/sanatorium-under-the-sign-of-the-hourglass
Woman and Child,Saeed Roustaee,2025,131 mins,Drama,Africa & Middle East,"Reeling from a tragic event, a widowed mother swears revenge on the men who’ve wronged her.","Forty-year-old widow Mahnaz has her hands full. She’s juggling her work as a nurse, raising two children and spending time with her boyfriend Hamid, who has proposed marriage. If that wasn’t enough, her rebellious teenage son Aliyar has just been suspended from school after one prank too many. On the day that Hamid’s parents visit to meet Mahnaz so they can approve of the wedding, tragedy strikes, upending Mahnaz’s precariously balanced life. Her unspeakable grief twists into incandescent rage as she resolves to punish everyone responsible for her pain – by whatever means necessary.",Farsi,21 Aug,Forum,10:15am,https://miff.com.au/program/film/woman-and-child
Woman and Child,Saeed Roustaee,2025,131 mins,Drama,Africa & Middle East,"Reeling from a tragic event, a widowed mother swears revenge on the men who’ve wronged her.","Forty-year-old widow Mahnaz has her hands full. She’s juggling her work as a nurse, raising two children and spending time with her boyfriend Hamid, who has proposed marriage. If that wasn’t enough, her rebellious teenage son Aliyar has just been suspended from school after one prank too many. On the day that Hamid’s parents visit to meet Mahnaz so they can approve of the wedding, tragedy strikes, upending Mahnaz’s precariously balanced life. Her unspeakable grief twists into incandescent rage as she resolves to punish everyone responsible for her pain – by whatever means necessary.",Farsi,23 Aug,Hoyts 3,6:15pm,https://miff.com.au/program/film/woman-and-child
Sound of Falling,Mascha Schilinski,2025,149 mins,"Drama, Historical",Bright Horizons,Four intergenerational stories anchored by one German farmhouse evoke impressions of girlhood across the 20th century in this Cannes Jury Prize winner.,"At different points throughout the last century, Alma, Erika, Angelika and Lenka each spend a part of their childhood on the same farm in northern Germany. The farmhouse bears witness to events both global and personal, with two world wars and a divided Germany providing historical backdrops to the girls’ more intimate experiences of growing up – innocent friendships, playful pranks, deep trauma and the burgeoning comprehension of life’s limitations for women under patriarchy.",German,20 Aug,The Capitol,6:00pm,https://miff.com.au/program/film/sound-of-falling
Sound of Falling,Mascha Schilinski,2025,149 mins,"Drama, Historical",Bright Horizons,Four intergenerational stories anchored by one German farmhouse evoke impressions of girlhood across the 20th century in this Cannes Jury Prize winner.,"At different points throughout the last century, Alma, Erika, Angelika and Lenka each spend a part of their childhood on the same farm in northern Germany. The farmhouse bears witness to events both global and personal, with two world wars and a divided Germany providing historical backdrops to the girls’ more intimate experiences of growing up – innocent friendships, playful pranks, deep trauma and the burgeoning comprehension of life’s limitations for women under patriarchy.",German,22 Aug,The Astor Theatre,6:00pm,https://miff.com.au/program/film/sound-of-falling
Sound of Falling,Mascha Schilinski,2025,149 mins,"Drama, Historical",Bright Horizons,Four intergenerational stories anchored by one German farmhouse evoke impressions of girlhood across the 20th century in this Cannes Jury Prize winner.,"At different points throughout the last century, Alma, Erika, Angelika and Lenka each spend a part of their childhood on the same farm in northern Germany. The farmhouse bears witness to events both global and personal, with two world wars and a divided Germany providing historical backdrops to the girls’ more intimate experiences of growing up – innocent friendships, playful pranks, deep trauma and the burgeoning comprehension of life’s limitations for women under patriarchy.",German,24 Aug,The Capitol,3:15pm,https://miff.com.au/program/film/sound-of-falling
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",8 Aug,Kino 1,6:30pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",15 Aug,Forum,10:30am,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",22 Aug,ACMI 2,3:30pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",23 Aug,The Pivotonian Cinema Geelong,4:30pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",23 Aug,Sale Cinema,6:30pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",23 Aug,Star Cinema Bendigo,7:00pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",23 Aug,Peninsula Cinemas Rosebud,7:10pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",24 Aug,Showbiz Cinema Ballarat,4:00pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",24 Aug,Theatre Royal Castlemaine,7:00pm,https://miff.com.au/program/film/dj-ahmet
DJ Ahmet,Georgi M. Unkovski,2025,99 mins,"Drama, Comedy",Europe & UK,A charming coming-of-age story about finding your place in a world where tradition and modernity collide.,"Like many 15-year-old boys, Ahmet dreams of something more. Living in a remote village in North Macedonia, he’s tasked with tending to the family’s sheep while his father seeks treatment for his five-year-old brother, Naim, who hasn’t spoken since their mother’s death. So when the music-loving teen stumbles upon a forest rave – and his alluring neighbour, Aya, with her own dreams of escape – his world is opened up.","English, Turkish, Macedonian",24 Aug,Forum,9:30pm,https://miff.com.au/program/film/dj-ahmet
