date,film_title,film_id,film_url,venue,time,context
2025-08-07,Opening Night Gala: If I Had Legs I’d Kick You,opening-night-gala-if-i-had-legs-id-kick-you,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you,Hoyts 5Level 3,6:15pm,"Hoyts 5Level 3, Melbourne Central Shopping CentreOpening Night Gala: If I Had Legs I’d Kick You6:15pm Opening Night Gala: If I Had Legs I’d Kick You6:15pm Opening Night Gala: If I Had Legs I’d Kick Yo"
2025-08-07,Opening Night Gala: If I Had Legs I’d Kick You,opening-night-gala-if-i-had-legs-id-kick-you,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you,Hoyts Melbourne Central Cinema 3Level 3,6:45pm,"Hoyts Melbourne Central Cinema 3Level 3, Melbourne Central Shopping CentreOpening Night Gala: If I Had Legs I’d Kick You6:45pm Opening Night Gala: If I Had Legs I’d Kick You6:45pm Opening Night Gala: "
2025-08-07,Opening Night Gala: If I Had Legs I’d Kick You,opening-night-gala-if-i-had-legs-id-kick-you,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you,Hoyts Melbourne Central Cinema 6Level 3,6:15pm,"Hoyts Melbourne Central Cinema 6Level 3, Melbourne Central Shopping CentreOpening Night Gala: If I Had Legs I’d Kick You6:15pm Opening Night Gala: If I Had Legs I’d Kick You6:15pm Opening Night Gala: "
2025-08-07,Opening Night Gala: If I Had Legs I’d Kick You,opening-night-gala-if-i-had-legs-id-kick-you,https://miff.com.au/program/film/opening-night-gala-if-i-had-legs-id-kick-you,Hoyts Melbourne Central Cinema 8Level 3,6:45pm,"Hoyts Melbourne Central Cinema 8Level 3, Melbourne Central Shopping CentreOpening Night Gala: If I Had Legs I’d Kick You6:45pm Opening Night Gala: If I Had Legs I’d Kick You6:45pm Opening Night Gala: "
2025-08-08,The Love That Remains,the-love-that-remains,https://miff.com.au/program/film/the-love-that-remains,ACMI,1:30pm,"ACMI 1Federation Square, Flinders StThe Love That Remains1:30pmYoung Mothers4:00pmNever Get Busted!6:45pmGood Boy9:45pm The Love That Remains1:30pm The Love That Remains1:30pm The Love That Remains "
2025-08-08,Young Mothers,young-mothers,https://miff.com.au/program/film/young-mothers,ACMI,1:30pm,"ACMI 1Federation Square, Flinders StThe Love That Remains1:30pmYoung Mothers4:00pmNever Get Busted!6:45pmGood Boy9:45pm Young Mothers4:00pm Young Mothers4:00pm Young Mothers "
2025-08-08,Never Get Busted!,never-get-busted,https://miff.com.au/program/film/never-get-busted,ACMI,1:30pm,"ACMI 1Federation Square, Flinders StThe Love That Remains1:30pmYoung Mothers4:00pmNever Get Busted!6:45pmGood Boy9:45pm Never Get Busted!6:45pm Never Get Busted!6:45pm Never Get Busted! "
2025-08-08,Good Boy,good-boy,https://miff.com.au/program/film/good-boy,ACMI,1:30pm,"ACMI 1Federation Square, Flinders StThe Love That Remains1:30pmYoung Mothers4:00pmNever Get Busted!6:45pmGood Boy9:45pm Good Boy9:45pm Good Boy9:45pm Good Boy "
2025-08-08,Mistress Dispeller,mistress-dispeller,https://miff.com.au/program/film/mistress-dispeller,ACMI,1:45pm,"ACMI 2Federation Square, Flinders StMistress Dispeller1:45pmRemaining Native4:15pmInternational Shorts 1400 CassettesAliCommon PearNervous EnergyPanadriloTwo People Exchanging Saliva6:30pmThe Extraord"
2025-08-08,Remaining Native,remaining-native,https://miff.com.au/program/film/remaining-native,ACMI,1:45pm,"ACMI 2Federation Square, Flinders StMistress Dispeller1:45pmRemaining Native4:15pmInternational Shorts 1400 CassettesAliCommon PearNervous EnergyPanadriloTwo People Exchanging Saliva6:30pmThe Extraord"
