title,director,year,runtime,countries,genres,premiere_status,session_date,session_venue,session_time,film_url
Footy Shorts,,2025,87 mins,,Documentary,,2025-08-12,ACMI,10:30am,https://miff.com.au/program/film/footy-shorts
Footy Shorts,,2025,87 mins,,Documentary,,2025-08-19,ACMI,10:30am,https://miff.com.au/program/film/footy-shorts
Two People Exchanging Saliva,Alexandre Singh,2024,36 mins,"USA, France","Drama, Fantasy, Sci-Fi",Australian Premiere,2025-08-08,ACMI,1:45pm,https://miff.com.au/program/film/two-people-exchanging-saliva
Two People Exchanging Saliva,Alexandre Singh,2024,36 mins,"USA, France","Drama, Fantasy, Sci-Fi",Australian Premiere,2025-08-18,Unknown,6:00pm,https://miff.com.au/program/film/two-people-exchanging-saliva
The Fix-It-Man And The Fix-It-Wooman,Nelson Armstrong,2024,9 mins,Australia,Animation,Victorian Premiere,2025-08-09,ACMI,10:45am,https://miff.com.au/program/film/the-fix-it-man-and-the-fix-it-wooman
The Fix-It-Man And The Fix-It-Wooman,Nelson Armstrong,2024,9 mins,Australia,Animation,Victorian Premiere,2025-08-17,Unknown,11:00am,https://miff.com.au/program/film/the-fix-it-man-and-the-fix-it-wooman
Cactus Pears,Rohan Parashuram Kanawade,2025,112 mins,"UK, Canada, India",Drama,Australian Premiere,2025-08-15,Unknown,6:00pm,https://miff.com.au/program/film/cactus-pears
Cactus Pears,Rohan Parashuram Kanawade,2025,112 mins,"UK, Canada, India",Drama,Australian Premiere,2025-08-17,Hoyts 3Level 3,1:45pm,https://miff.com.au/program/film/cactus-pears
First Light,James J. Robinson,2025,118 mins,"Australia, Philippines",Drama,World Premiere,2025-08-10,Capitol113 Swanston StSpreadsheet Champions1:00pmWent up the Hill3:45pmFirst Light6:45pm First Light6:45pm First Light6:45pm First Light,1:00pm,https://miff.com.au/program/film/first-light
First Light,James J. Robinson,2025,118 mins,"Australia, Philippines",Drama,World Premiere,2025-08-12,Capitol113 Swanston StFirst Light6:15pmMarlon Williams: Two Worlds - Ngā Ao E Rua9:30pm First Light6:15pm First Light6:15pm First Light,6:15pm,https://miff.com.au/program/film/first-light
First Light,James J. Robinson,2025,118 mins,"Australia, Philippines",Drama,World Premiere,2025-08-17,Unknown,4:00pm,https://miff.com.au/program/film/first-light
"The Flowers Stand Silently, Witnessing",Theo Papadopoulos,2024,17 mins,UK,Documentary,Australian Premiere,2025-08-10,Unknown,1:15pm,https://miff.com.au/program/film/the-flowers-stand-silently-witnessing
